P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
1850,64.076,146.07,159.41,172.75,186.09,199.43,212.77,226.11,239.45,252.79,266.13,279.47,0.50878,0.54834,0.5879,0.62746,0.66702,0.70658,0.74614,0.7857,0.82526,0.86482,0.90438
1900,65.234,148,161.172,174.344,187.516,200.688,213.86,227.032,240.204,253.376,266.548,279.72,0.51438,0.5533,0.59222,0.63114,0.67006,0.70898,0.7479,0.78682,0.82574,0.86466,0.90358
1950,66.368,149.91,162.912,175.914,188.916,201.918,214.92,227.922,240.924,253.926,266.928,279.93,0.51978,0.55808,0.59638,0.63468,0.67298,0.71128,0.74958,0.78788,0.82618,0.86448,0.90278
2000,67.481,151.8,164.633,177.466,190.299,203.132,215.965,228.798,241.631,254.464,267.297,280.13,0.52528,0.56295,0.60062,0.63829,0.67596,0.71363,0.7513,0.78897,0.82664,0.86431,0.90198
2050,68.572,153.67,166.333,178.996,191.659,204.322,216.985,229.648,242.311,254.974,267.637,280.3,0.53058,0.56764,0.6047,0.64176,0.67882,0.71588,0.75294,0.79,0.82706,0.86412,0.90118
2100,69.644,155.52,168.013,180.506,192.999,205.492,217.985,230.478,242.971,255.464,267.957,280.45,0.53578,0.57223,0.60868,0.64513,0.68158,0.71803,0.75448,0.79093,0.82738,0.86383,0.90028
2150,70.696,157.34,169.664,181.988,194.312,206.636,218.96,231.284,243.608,255.932,268.256,280.58,0.54098,0.57682,0.61266,0.6485,0.68434,0.72018,0.75602,0.79186,0.8277,0.86354,0.89938
2200,71.73,159.15,171.304,183.458,195.612,207.766,219.92,232.074,244.228,256.382,268.536,280.69,0.54608,0.58132,0.61656,0.6518,0.68704,0.72228,0.75752,0.79276,0.828,0.86324,0.89848
2250,72.745,160.94,172.923,184.906,196.889,208.872,220.855,232.838,244.821,256.804,268.787,280.77,0.55118,0.58582,0.62046,0.6551,0.68974,0.72438,0.75902,0.79366,0.8283,0.86294,0.89758
2300,73.744,162.72,174.531,186.342,198.153,209.964,221.775,233.586,245.397,257.208,269.019,280.83,0.55608,0.59013,0.62418,0.65823,0.69228,0.72633,0.76038,0.79443,0.82848,0.86253,0.89658
2350,74.726,164.48,176.119,187.758,199.397,211.036,222.675,234.314,245.953,257.592,269.231,280.87,0.56108,0.59453,0.62798,0.66143,0.69488,0.72833,0.76178,0.79523,0.82868,0.86213,0.89558
2400,75.692,166.23,177.696,189.162,200.628,212.094,223.56,235.026,246.492,257.958,269.424,280.89,0.56588,0.59875,0.63162,0.66449,0.69736,0.73023,0.7631,0.79597,0.82884,0.86171,0.89458
2450,76.642,167.97,179.261,190.552,201.843,213.134,224.425,235.716,247.007,258.298,269.589,280.88,0.57068,0.60297,0.63526,0.66755,0.69984,0.73213,0.76442,0.79671,0.829,0.86129,0.89358
2500,77.577,169.69,180.807,191.924,203.041,214.158,225.275,236.392,247.509,258.626,269.743,280.86,0.57548,0.60718,0.63888,0.67058,0.70228,0.73398,0.76568,0.79738,0.82908,0.86078,0.89248
2550,78.498,171.41,182.349,193.288,204.227,215.166,226.105,237.044,247.983,258.922,269.861,280.8,0.58028,0.61138,0.64248,0.67358,0.70468,0.73578,0.76688,0.79798,0.82908,0.86018,0.89128
2600,79.405,173.11,183.872,194.634,205.396,216.158,226.92,237.682,248.444,259.206,269.968,280.73,0.58488,0.61541,0.64594,0.67647,0.707,0.73753,0.76806,0.79859,0.82912,0.85965,0.89018
2650,80.299,174.81,185.392,195.974,206.556,217.138,227.72,238.302,248.884,259.466,270.048,280.63,0.58958,0.61952,0.64946,0.6794,0.70934,0.73928,0.76922,0.79916,0.8291,0.85904,0.88898
